store,site_code,st_type,tier,op.date,sqft,store_format,region,zone,fdu.non.fdu,apparel_area,festival
DALANWALA-DEHRADUN,101159,P1,i,2018-05-20T00:00:00Z,9833,Fashion,UK,North,nonfdu,7536.962165,dc
CHINHAT-LUCKNOW,101161,P1,i,2018-06-01T00:00:00Z,10250,Fashion,UP13,UP East,nonfdu,7919.07306,dc
MAJRA-DEHRADUN,101162,P1,i,2018-06-08T00:00:00Z,7593,Fashion,UK,North,nonfdu,6461.792324,dc
AIRPORT ROAD-LUCKNOW,101175,P1,i,2018-08-06T00:00:00Z,9990,Fashion,UP8,UP East,nonfdu,7126.781647,dc
LOHARDAGA,101165,P1,iv,2018-08-11T00:00:00Z,9381,Fashion,JHK1,East/JHK,nonfdu,7215.481655,pdc
RAMBAGH CHOWK,101180,P1,iii,2018-08-28T00:00:00Z,8463,Fashion,BIHAR 3,Bihar,nonfdu,6530.842083,pdc
NAGAON,101170,P1,iii,2018-08-31T00:00:00Z,10231,Fashion,NE,East/JHK,nonfdu,7839.490944,purepujo
NALBARI,101171,P1,iii,2018-08-31T00:00:00Z,11700,Composite,NE,East/JHK,nonfdu,8227.52144,purepujo
KALAPAHAR-GUWAHATI,101176,P1,i,2018-09-02T00:00:00Z,8229,Fashion,NE,East/JHK,nonfdu,6467.624819,purepujo
ZOO ROAD-GUWAHATI,101172,P1,i,2018-09-02T00:00:00Z,9110,Fashion,NE,East/JHK,nonfdu,6988.881531,purepujo
PALKI-LUCKNOW,101158,P1,i,2018-09-10T00:00:00Z,8200,Fashion,UP8,UP East,nonfdu,6421.768244,dc
KRISHNANAGAR-WEST BENGAL,101182,P1,iii,2018-09-21T00:00:00Z,7516,Fashion,WB1,East/JHK,nonfdu,6285.82705,purepujo
KACHI CHAWNI,101151,P1,i,2018-09-22T00:00:00Z,9700,Fashion,J and K,North,nonfdu,7742.877759,dc
SHANTIPUR,101183,P1,iv,2018-09-27T00:00:00Z,8280,Fashion,WB1,East/JHK,nonfdu,6825.044374,purepujo
ARAMBAGH,101181,P1,iv,2018-10-03T00:00:00Z,7685,Fashion,WB1,East/JHK,nonfdu,6380.073609,purepujo
SAGUNA MOR-PATNA,101178,P1,i,2018-10-03T00:00:00Z,6300,Fashion,BIHAR 1,Bihar,nonfdu,5619.742618,pdc
JORHAT,101184,P1,iii,2018-10-09T00:00:00Z,10000,Fashion,NE,East/JHK,nonfdu,7882.469169,purepujo
MURSHIDABAD,101186,P1,iii,2018-10-10T00:00:00Z,5637,Fashion,WB1,East/JHK,nonfdu,5203.341807,purepujo
JOWAI,101189,P1,iv,2018-10-26T00:00:00Z,10049,Fashion,NE,East/JHK,nonfdu,5841.173183,purepujo
GARHWA,101142,P1,iv,2018-10-29T00:00:00Z,7585,Fashion,JHK1,East/JHK,nonfdu,6263.535383,pdc
KANNAUJ,101129,P1,iv,2018-12-14T00:00:00Z,7553,Fashion,UP2,UP East,nonfdu,6058.967142,dc
NAUBASTA-KANPUR,101195,P1,ii,2018-12-15T00:00:00Z,7175,Fashion,UP2,UP East,nonfdu,5265.917366,dc
MUGHALSARAI,101146,P1,iii,2018-12-21T00:00:00Z,8820,Composite,UP5,UP East,nonfdu,6333.569639,dc
JHANGIRABAD-BHOPAL,101210,P1,i,2019-02-03T00:00:00Z,9913,Fashion,MP1,North,nonfdu,7720.998137,dc
JEHANABAD-STATION ROAD,101211,P1,iii,2019-02-13T00:00:00Z,7138,Fashion,BIHAR 4,Bihar,nonfdu,5677.971449,pdc
SAHARANPUR-DELHI ROAD,101212,P1,iii,2019-02-16T00:00:00Z,8555,Fashion,DELHI NCR,North,nonfdu,6980.966374,dc
KANKARBAGH-PATNA,101230,P1,i,2019-02-26T00:00:00Z,8433,Fashion,BIHAR 1,Bihar,nonfdu,5650.44841,pdc
JAMSHEDPUR-SAKCHI AMBAGAN,101145,P1,ii,2019-03-10T00:00:00Z,9636,Composite,JHK1,East/JHK,nonfdu,6901.730822,pdc
LAL BANGLA-KANPUR,101228,P1,ii,2019-03-16T00:00:00Z,9104,Fashion,UP2,UP East,nonfdu,7376.540301,dc
BANDEL,101177,P1,iii,2019-03-17T00:00:00Z,8406,Fashion,WB1,East/JHK,nonfdu,5494.173811,purepujo
BISWANATH CHARIALI,101194,P1,iv,2019-03-18T00:00:00Z,6149,Fashion,NE,East/JHK,nonfdu,5092.920462,purepujo
BISALPUR-EIDGAH CHAURAHA,101233,P1,iv,2019-03-19T00:00:00Z,5519,Fashion,UP6,UP East,nonfdu,4764.999372,dc
BHOPAL-KAROND,101241,P1,i,2019-03-29T00:00:00Z,10598,Composite,MP1,North,nonfdu,6321.235843,dc
PALAMPUR-CITY MALL,101238,P1,iii,2019-03-29T00:00:00Z,10000,Fashion,PUN and HP,North,nonfdu,8268.322358,dc
SANGANER-JAIPUR,101206,P1,i,2019-03-31T00:00:00Z,9000,Fashion,RAJASTHAN-1,North,nonfdu,7543.799433,dc
JAMMU-KUNJWANI,101243,P1,i,2019-04-04T00:00:00Z,9800,Fashion,J and K,North,nonfdu,7373.946822,dc
KAHALGOAN,101227,P1,iv,2019-04-05T00:00:00Z,6481,Fashion,BIHAR 3,Bihar,nonfdu,5247.278291,pdc
TAMLUK-MANIKTALA,101231,P1,iv,2019-04-13T00:00:00Z,6139,Fashion,WB1,East/JHK,nonfdu,5100.150312,purepujo
RAJPURA-AGRA,101235,P1,ii,2019-04-23T00:00:00Z,7629,Fashion,UP7,North,nonfdu,6638.965853,dc
DHUBRI-GTB ROAD,101242,P1,iv,2019-04-28T00:00:00Z,5721,Fashion,NE,East/JHK,nonfdu,4993.400543,purepujo
GWALIOR-SURYA NAGAR,101249,P1,ii,2019-05-24T00:00:00Z,7441,Fashion,MP2,North,nonfdu,5771.363587,dc
KHARUPETIA-PANBARI ROAD,101252,P1,iv,2019-05-25T00:00:00Z,6019,Fashion,NE,East/JHK,nonfdu,4756.160159,purepujo
GORAKHPUR-MEDICAL COLLEGE,101263,P1,iii,2019-06-12T00:00:00Z,8626,Composite,UP4,UP East,nonfdu,6311.746923,dc
SUPAUL,101179,P1,iv,2019-06-14T00:00:00Z,8527,Composite,BIHAR 3,Bihar,nonfdu,6045.152447,pdc
GWALIOR-LASHKAR,101253,P1,ii,2019-06-16T00:00:00Z,8717,Fashion,MP2,North,nonfdu,7177.783494,dc
AGRA-SIKANDRA,101265,P1,ii,2019-07-09T00:00:00Z,6678,Fashion,UP7,North,nonfdu,6125.698944,dc
JAIPUR-JHOTWARA,101280,P1,i,2019-07-27T00:00:00Z,9029,Fashion,RAJASTHAN-1,North,nonfdu,6715.659985,dc
LUCKNOW-KHURRAM NAGAR,101268,P1,i,2019-07-28T00:00:00Z,6983,Fashion,UP8,UP East,nonfdu,5199.96275,dc
ZIRAKPUR-BUS STAND,101286,P1,i,2019-08-01T00:00:00Z,9350,Composite,PUN and HP,North,nonfdu,6158.925793,dc
DALTONGANJ-REDMA CHOWK,101259,P1,iv,2019-08-09T00:00:00Z,6611,Fashion,JHK1,East/JHK,nonfdu,4956.733421,pdc
KOTA-RANGBARI,101284,P1,ii,2019-08-15T00:00:00Z,8834,Fashion,RAJASTHAN-2,North,nonfdu,6918.741781,dc
DHANBAD-SARAIDHELLA,101306,P1,ii,2019-08-31T00:00:00Z,6181,Fashion,JHK2,East/JHK,nonfdu,5378.344086,pdc
PATNA-KURJI,101281,P1,i,2019-09-11T00:00:00Z,5942,Fashion,BIHAR 1,Bihar,nonfdu,5023.812974,pdc
KOLKATA-BARASAT,101318,P1,i,2019-09-18T00:00:00Z,9002,Composite,WB1,East/JHK,nonfdu,7040.897486,purepujo
RAIGANJ-MG ROAD,101269,P1,iii,2019-09-22T00:00:00Z,10020,Composite,WB2,East/JHK,nonfdu,6758.974352,purepujo
ITANAGAR,101187,P1,i,2019-10-01T00:00:00Z,13300,Composite,NE,East/JHK,nonfdu,8747.351786,purepujo
LUCKNOW-BUDHESHWAR,101295,P1,i,2019-10-01T00:00:00Z,5295,Fashion,UP8,UP East,nonfdu,4565.443163,dc
DELHI-NARELA,101305,P1,i,2019-10-03T00:00:00Z,6656,Fashion,DELHI NCR,North,nonfdu,5336.596032,dc
JAMMU-JANIPUR,101316,P1,i,2019-10-05T00:00:00Z,11000,Composite,J and K,North,nonfdu,8482.258341,dc
JABALPUR-DAMOHNAKA,101315,P1,ii,2019-10-13T00:00:00Z,8540,Fashion,MP1,North,nonfdu,6973.02979,dc
LUCKNOW-QAISARBAGH,101130,P1,i,2019-10-14T00:00:00Z,6331,Fashion,UP8,UP East,nonfdu,5042.073085,dc
HARDOI-LUCKNOW ROAD,101125,P1,iii,2019-10-18T00:00:00Z,9782,Composite,UP6,UP East,nonfdu,7132.391122,dc
LUCKNOW-RAJAJIPURAM 2,101329,P1,i,2019-10-18T00:00:00Z,7541,Fashion,UP8,UP East,nonfdu,6218.389994,dc
KOTA-KUNADI,101298,P1,ii,2019-10-21T00:00:00Z,8278,Fashion,RAJASTHAN-2,North,fdu,6832.093345,dc
KANPUR-KALYANPUR,101317,P1,ii,2019-10-23T00:00:00Z,10151,Composite,UP2,UP East,nonfdu,7383.340487,dc
LUCKNOW-ARJUNGANJ,101324,P1,i,2019-10-23T00:00:00Z,8207,Fashion,UP13,UP East,nonfdu,6855.450914,dc
JAMMU-TALAB TILLO,101299,P1,i,2019-10-26T00:00:00Z,8217,Fashion,J and K,North,nonfdu,6558.245955,dc
LUCKNOW-BKT,101267,P1,i,2019-12-03T00:00:00Z,8338,Fashion,UP8,UP East,nonfdu,6387.619692,dc
MUZAFFARPUR-AGHORIA BAZAR,101339,P1,iii,2019-12-26T00:00:00Z,8809,Fashion,BIHAR 2,Bihar,nonfdu,7020.424283,pdc
JAIPUR-BARKAT NAGAR,101338,P1,i,2019-12-29T00:00:00Z,6535,Fashion,RAJASTHAN-1,North,nonfdu,5058.045145,dc
UDAIPUR-SURAJPOLE,101337,P1,iii,2019-12-29T00:00:00Z,7224,Fashion,RAJASTHAN-2,North,nonfdu,5644.902063,dc
INDORE-SAPNA SANGEETA,101342,P1,ii,2020-01-27T00:00:00Z,6522,Fashion,MP2,North,nonfdu,5385.780581,dc
ALIGARH-ETAH CHUNGI,101343,P1,iii,2020-01-30T00:00:00Z,7900,Fashion,UP7,North,nonfdu,5966.637606,dc
KANPUR-P ROAD,101341,P1,ii,2020-01-31T00:00:00Z,5008,Fashion,UP2,UP East,nonfdu,4140.438425,dc
LUCKNOW-DUBAGGA,101199,P1,i,2020-02-21T00:00:00Z,8000,Fashion,UP8,UP East,nonfdu,6197.781025,dc
JAIPUR-CHITRAKOOT,101347,P1,i,2020-03-01T00:00:00Z,7081,Fashion,RAJASTHAN-1,North,nonfdu,5688.360291,dc
SANDILA-MOHALL ASHAF TOLA,101333,P1,iv,2020-03-01T00:00:00Z,5009,Fashion,UP6,UP East,nonfdu,3911.022068,dc
CHANDAUSI-BAHJOI ROAD,101346,P1,iii,2020-03-03T00:00:00Z,6752,Fashion,UP11,UP East,nonfdu,5659.739309,dc
UNNAO-SHAHGANJ BAZAAR,101327,P1,iii,2020-03-04T00:00:00Z,6252,Fashion,UP2,UP East,nonfdu,5277.921097,dc
JAIPUR-PRATAP NAGAR,101348,P1,i,2020-03-08T00:00:00Z,7416,Fashion,RAJASTHAN-1,North,nonfdu,6130.140246,dc
BHOPAL-BAIRAGARH,101345,P1,i,2020-06-29T00:00:00Z,7366,Fashion,MP1,North,nonfdu,6099.389109,dc
UDALGURI-MG ROAD,101261,P1,iv,2020-10-01T00:00:00Z,8942,Fashion,NE,East/JHK,nonfdu,7069.484176,purepujo
JAIPUR-SUBHASH CHOWK,101353,P1,i,2020-10-11T00:00:00Z,6937,Fashion,RAJASTHAN-1,North,nonfdu,5597.75946,dc
JAIPUR-SIRSI ROAD,101371,P1,i,2020-10-14T00:00:00Z,7550,Fashion,RAJASTHAN-1,North,nonfdu,5828.007313,dc
AGRA-VIP ROAD,101296,P1,ii,2020-10-18T00:00:00Z,8630,Fashion,UP7,North,nonfdu,6848.222293,dc
KATIHAR-NEW MARKET,101328,P1,iii,2020-10-18T00:00:00Z,5740,Composite,BIHAR 3,Bihar,nonfdu,4900.36546,pdc
MADHUBANI-JHAJHARPUR,101374,P1,iv,2020-10-20T00:00:00Z,6533,Fashion,BIHAR 2,Bihar,nonfdu,4145.697117,pdc
BASTI-MALVIYA ROAD,101377,P1,iii,2020-11-07T00:00:00Z,9893,Composite,UP9,UP East,nonfdu,6953.398124,dc
MALDAHIYA,101378,P1,ii,2020-11-15T00:00:00Z,14091,Composite,UP5,UP East,nonfdu,10081.98027,dc
RANCHI-RATU ROAD,101349,P1,i,2020-12-01T00:00:00Z,6360,Fashion,JHK1,East/JHK,nonfdu,5206.642321,pdc
LUCKNOW-KHADRA,101431,P1,i,2020-12-19T00:00:00Z,7023,Fashion,UP8,UP East,fdu,5410.900417,dc
VAISHALI-LALGANJ,101447,P1,iv,2021-02-20T00:00:00Z,6367,Fashion,BIHAR 1,Bihar,nonfdu,5239.038956,pdc
KARWI-CHITRAKOOT,101452,P1,iii,2021-03-15T00:00:00Z,5453,Composite,UP12,UP East,nonfdu,4583.697704,dc
CHHAPRA-BHAGWAN BAZAR,101454,P1,iii,2021-03-25T00:00:00Z,5417,Fashion,BIHAR 1,Bihar,fdu,4469.419005,pdc
JAIPUR-NSR,101453,P1,i,2021-03-25T00:00:00Z,8650,Fashion,RAJASTHAN-1,North,nonfdu,6823.146021,dc
PRAYAGRAJ-NOORULLAH ROAD,101445,P1,ii,2021-03-25T00:00:00Z,7500,Fashion,UP10,UP East,nonfdu,4123.455507,dc
BALLIA-NEW TOWN,101449,P1,iii,2021-03-26T00:00:00Z,9532,Composite,UP3,UP East,nonfdu,6582.366766,dc
VARANASI-SHIVALA,101461,P1,ii,2021-04-03T00:00:00Z,9459,Composite,UP5,UP East,fdu,5120.220598,dc
BARHI-DHANBAD ROAD,101474,P1,iv,2021-06-30T00:00:00Z,6281,Fashion,JHK2,East/JHK,vdu,4574.336884,pdc
GODDA-RAUTARA CHOWK,101462,P1,iii,2021-06-30T00:00:00Z,7281,Fashion,JHK2,East/JHK,fdu,5630.380746,pdc
KANPUR-BARRA,101468,P1,ii,2021-07-05T00:00:00Z,8498,Composite,UP2,UP East,fdu,5616.355164,dc
MAU-GHOSI,101477,P1,iv,2021-07-21T00:00:00Z,7723,Fashion,UP3,UP East,vdu,6083.171398,dc
KANPUR-YASHODA NAGAR,101480,P1,ii,2021-07-26T00:00:00Z,6399,Fashion,UP2,UP East,fdu,5095.766333,dc
CHITTORGARH-UDAIPUR ROAD,101476,P1,iii,2021-07-31T00:00:00Z,8232,Composite,RAJASTHAN-2,North,nonfdu,6332.689238,dc
KATIHAR-MIRCHAIBARI,101472,P1,iii,2021-08-02T00:00:00Z,12395,Composite,BIHAR 3,Bihar,nonfdu,7762.351545,pdc
DELHI-DWARKA,101478,P1,i,2021-08-06T00:00:00Z,5294,Fashion,DELHI NCR,North,fdu,4461.948795,dc
PATNA-SAMPATH CHOWK,101481,P1,i,2021-08-07T00:00:00Z,6686,Fashion,BIHAR 1,Bihar,nonfdu,5156.351279,pdc
MIRZAPUR-TELIAGANJ,101475,P1,iii,2021-08-20T00:00:00Z,10536,Composite,UP5,UP East,fdu,6725.662275,dc
ROURKELA-DAILY MARKET,101469,P1,iii,2021-09-08T00:00:00Z,6518,Fashion,ODISHA,East/JHK,fdu,4889.437607,purepujo
UTTARPARA,101373,P1,iii,2021-09-10T00:00:00Z,6515,Fashion,WB1,East/JHK,fdu,5492.411701,purepujo
AGARTALA-SHAKUNTALA ROAD,101572,P1,i,2021-09-22T00:00:00Z,18314,Composite,NE,East/JHK,nonfdu,9597.629162,purepujo
UDAIPUR-HIRAN MANGRI,101575,P1,iii,2021-09-25T00:00:00Z,7447,Fashion,RAJASTHAN-2,North,fdu,6437.222442,dc
DARBHANGA-DONAR,101574,P1,iii,2021-09-30T00:00:00Z,10909,Composite,BIHAR 2,Bihar,nonfdu,5900.926307,pdc
AURAIYA-KANPUR ROAD,101580,P1,iii,2021-10-01T00:00:00Z,7683,Fashion,UP12,UP East,nonfdu,3399.112994,dc
PATNA-BAKHTIYARPUR,101470,P1,iv,2021-10-17T00:00:00Z,6779,Fashion,BIHAR 1,Bihar,fdu,5296.118006,pdc
DEHRI ON SONE,101446,P1,iv,2021-10-24T00:00:00Z,8428,Composite,BIHAR 4,Bihar,nonfdu,5033.143902,pdc
FAIZABAD-NAKA,101482,P1,iii,2021-10-28T00:00:00Z,11100,Composite,UP9,UP East,fdu,6469.446414,dc
RISHIKESH-HARIDWAR ROAD,101576,P1,iii,2021-10-28T00:00:00Z,7460,Fashion,UK,North,fdu,6060.100373,dc
AMETHI-DURGAPUR ROAD,101586,P1,iii,2021-10-30T00:00:00Z,11176,Composite,UP10,UP East,nonfdu,7763.189428,dc
SHAHGANJ-JAUNPUR ROAD,101600,P1,iii,2021-10-31T00:00:00Z,8421,Composite,UP3,UP East,vdu,6313.177176,dc
FARIDABAD-NIT,101587,P1,i,2021-11-02T00:00:00Z,10535,Composite,DELHI NCR,North,nonfdu,6362.858716,dc
GONDA-STATION ROAD,101612,P1,iii,2021-12-24T00:00:00Z,5797,Fashion,UP9,UP East,nonfdu,4628.538534,dc
PALWAL-AGRA CHOWK,101654,P1,iii,2022-02-10T00:00:00Z,7938,Fashion,DELHI NCR,North,fdu,6259.528956,dc
HARIDWAR-SHIVALIK NAGAR,101652,P1,iii,2022-02-18T00:00:00Z,9091,Composite,UK,North,nonfdu,5300.046458,dc
BURDWAN-NAZRUL PALLY,101637,P1,iii,2022-02-25T00:00:00Z,9655,Composite,WB1,East/JHK,nonfdu,6316.466726,purepujo
PATNA-KANTIFACTORY,101344,P1,i,2022-02-27T00:00:00Z,7061,Fashion,BIHAR 1,Bihar,fdu,5207.65868,pdc
PURANPUR-KOTWALI ROAD,101655,P1,iv,2022-03-05T00:00:00Z,6139,Fashion,UP6,UP East,vdu,4727.99198,dc
BHOPAL-KOLAR ROAD,101662,P1,i,2022-03-07T00:00:00Z,7837,Fashion,MP1,North,nonfdu,6370.782322,dc
DELHI-BURARI,101664,P1,i,2022-03-10T00:00:00Z,11467,Composite,DELHI NCR,North,fdu,6931.927505,dc
RAEBARELI-LALGANJ,101627,P1,iv,2022-03-15T00:00:00Z,7381,Fashion,UP10,UP East,vdu,5991.219683,dc
GURUGRAM-BADSHAHPUR,101671,P1,i,2022-03-26T00:00:00Z,11550,Composite,DELHI NCR,North,vdu,7584.589239,dc
RANCHI-BARIATU ROAD,101680,P1,i,2022-03-29T00:00:00Z,10361,Composite,JHK1,East/JHK,fdu,6316.539084,pdc
BAHRAICH-CIVIL LINE,101669,P1,iii,2022-03-31T00:00:00Z,10958,Composite,UP13,UP East,fdu,6677.595152,dc
DHANBAD-BINODBIHARI CHOWK,101667,P1,iii,2022-03-31T00:00:00Z,10292,Composite,JHK2,East/JHK,vdu,7357.191559,pdc
PATNA-ANISHABAD,101661,P1,i,2022-03-31T00:00:00Z,7550,Fashion,BIHAR 1,Bihar,fdu,5715.450236,pdc
SULTANPUR-PUNCHRASTA ROAD,101668,P1,iii,2022-03-31T00:00:00Z,8028,Fashion,UP9,UP East,vdu,6907.32828,dc
FATUHA,101670,P1,iv,2022-04-07T00:00:00Z,5519,Fashion,BIHAR 1,Bihar,fdu,4673.980449,pdc
JAIPUR-MURLIPURA,101696,P1,i,2022-05-21T00:00:00Z,8688,Composite,RAJASTHAN-1,North,fdu,6158.770946,dc
GHAZIPUR-DILDARNAGAR,101700,P1,iv,2022-05-28T00:00:00Z,7547,Fashion,UP3,UP East,vdu,6094.670253,dc
BALRAMPUR-UTRAULA,101704,P1,iv,2022-06-06T00:00:00Z,6775,Fashion,UP9,UP East,vdu,5184.919704,dc
CHHATARPUR-JAWAHAR ROAD,101739,P1,iii,2022-06-16T00:00:00Z,8440,Fashion,MP2,North,fdu,6625.624725,dc
BARAN-KOTA ROAD,101656,P1,iii,2022-06-28T00:00:00Z,7903,Fashion,RAJASTHAN-2,North,vdu,6401.36401,dc
DEHRADUN-VIKAS NAGAR,101698,P1,iii,2022-06-29T00:00:00Z,8659,Fashion,UK,North,vdu,6884.061267,dc
BARPETA TOWN-HOWLY ROAD,101733,P1,iii,2022-07-08T00:00:00Z,11000,Composite,NE,East/JHK,fdu,7585.74513,purepujo
WAIDHAN-VIDHYANAGAR ROAD,101695,P1,iii,2022-07-10T00:00:00Z,8387,Fashion,MP1,North,vdu,6815.564969,dc
